cadence,stride_time_mean,stride_time_std,mean_pressure_left,mean_pressure_right,peak_pressure_left,peak_pressure_right,pressure_variance_left,pressure_variance_right,heel_to_toe_ratio_left,heel_to_toe_ratio_right,contact_area_left,contact_area_right,impact_force_left,impact_force_right,imu_acc_mean_left,imu_acc_mean_right,imu_acc_std_left,imu_acc_std_right,imu_gyro_mean_left,imu_gyro_mean_right,imu_gyro_std_left,imu_gyro_std_right,step_symmetry,force_symmetry,mood
90.0,0.774,0.1112834219459484,974.501875,706.776875,4018.0,4095.0,1954715.8299964848,1296980.7645902345,1.185573832725778,1.8,1203,1053,3043.498125,3388.223125,6.656687499999999,2.627663333333333,6.982377724899813,8.853423630625738,0.0455758333333333,-0.0070008333333333,2.3291667592902487,2.343480951668402,0.6324786297757323,1.3787970547581978,angry
90.0,0.766,0.1248358922746178,973.1046875,813.059375,4018.0,4095.0,1983988.212478028,1414305.1245996093,0.86711824104024,1.8,1178,1191,3044.8953125,3281.940625,6.771038333333332,2.514441666666666,6.988884705983535,8.915620470645731,0.0745816666666666,-0.0113466666666666,2.432619548963056,2.339814209466688,0.4669260682220775,1.1968433256220146,angry
90.0,0.688,0.1984338680769994,1022.431875,861.2659375,4016.0,4095.0,2034208.770358984,1472233.440214746,0.827772492260845,1.8,1265,1213,2993.568125,3233.7340625,6.847569999999999,2.3592533333333336,6.577644430830336,9.520644274548278,-0.1687066666666666,-0.113805,2.3302244374642447,2.4977231192244536,0.5121951198691256,1.187126797073492,angry
120.0,0.5442857142857143,0.021946130708196,1010.0721875,875.539375,4007.0,4095.0,1991525.130726465,1494413.4278246092,1.0947351037553572,1.8,1245,1245,2996.9278125,3219.460625,6.935664166666667,2.492346666666667,6.797561705595812,8.885666224683936,0.1593458333333333,0.0327474999999999,2.3099166408983907,2.381299110515886,0.5680933830035277,1.1536570657902656,angry
105.0,0.6149999999999999,0.1645954636879967,962.623125,969.4503125,3986.0,4095.0,1911562.8554652345,1520778.766281152,1.06036851955359,1.8,1206,1391,3023.376875,3125.5496875,6.74712,2.694240833333333,6.694701022370852,8.461109058086453,-0.0326041666666666,-0.0456316666666666,2.333101259586184,2.269892010132616,0.5399239523196808,0.9929576705428544,angry
90.0,0.6719999999999999,0.1225397894563231,986.4390625,697.2971875,4006.0,4083.0,1969968.6600366207,1370453.1594920896,1.09800792413405,1.8,1241,990,3019.5609375,3385.7028125,7.004773333333333,2.505218333333333,6.697000410155447,8.56862678636415,0.1344241666666666,0.0094666666666666,2.309384386782757,2.238834537333109,0.5702127635310095,1.4146608917526131,angry
90.0,0.75,0.1609968943799848,1011.795625,699.2884375,4060.0,3964.0,2045072.40260586,1419673.8202413088,0.841907224562752,1.8,1255,976,3048.2043750000003,3264.7115625,6.951434166666666,2.334651666666667,6.225340829812665,9.049748163273048,-0.2108216666666666,-0.1274083333333333,2.463659054441291,2.40509583452799,0.6019417446507682,1.4468931120473545,angry
90.0,0.72,0.2036663938896155,978.48375,796.5425,4001.0,4077.0,1920252.7034859376,1422161.82444375,0.994095229318944,1.8,1244,1167,3022.51625,3280.4575,6.778226666666666,2.4759441666666664,6.458896789722599,8.733600889822934,-0.0308508333333333,-0.0152591666666666,2.354266522064988,2.3022455658188683,0.5775862044069561,1.2284137365822745,angry
105.0,0.5816666666666667,0.1033467733195166,977.2840625,724.9528125,4006.0,4046.0,2102249.331495996,1374165.6999608397,0.6253700853311376,1.8,1162,1037,3028.7159375,3321.0471875,7.090574166666667,2.4151275,6.995623901018358,8.919342841146449,0.2742133333333333,0.0316458333333333,2.4919271376765595,2.3977813308138227,0.4401709382898678,1.3480657558686748,angry
90.0,0.674,0.1489429420952869,1043.39125,712.37625,3996.0,3961.0,1977321.6269234377,1391574.0696859374,0.9044123245324308,1.8,1342,1025,2952.6087500000003,3248.62375,6.735280833333333,2.734369166666667,6.530794744156281,8.921970570986508,-0.3694874999999999,-0.1441083333333333,2.3713526818064024,2.2952858892224928,0.6086956495274102,1.4646631587385692,angry
